Row,Column,Goal Row,Goal Column,Vertical Distance to Goal,Horizontal Distance to Goal,Direction,Sector Cost,Cost To Goal
5,0,5,2,0,2,4,5,4.0
5,1,5,2,0,1,4,0,1.0
5,2,5,2,0,0,4,0,0
3,2,0,3,3,1,1,15,8.0
2,2,0,3,2,1,1,15,7.0
1,2,0,3,1,1,1,0,4.0
0,2,0,3,0,1,1,0,2.0
0,2,0,3,0,1,4,0,1.0
0,3,0,3,0,0,4,0,0
0,2,1,1,1,1,1,0,13.0
0,2,1,1,1,1,2,0,12.0
0,1,1,1,1,0,2,0,5.0
0,1,1,1,1,0,3,0,1.0
1,1,1,1,0,0,3,0,0
2,3,3,1,1,2,1,10,6.0
2,3,3,1,1,2,2,10,5.0
2,2,3,1,1,1,2,0,4.0
2,2,3,1,1,1,3,0,3.0
3,2,3,1,0,1,3,0,2.0
3,2,3,1,0,1,2,0,1.0
3,1,3,1,0,0,2,0,0
5,5,3,1,2,4,1,11,19.0
4,5,3,1,1,4,1,11,14.0
4,5,3,1,1,4,2,11,11.0
4,4,3,1,1,3,2,11,7.0
4,3,3,1,1,2,2,11,4.0
4,2,3,1,1,1,2,0,3.0
4,1,3,1,1,0,2,0,2.0
4,1,3,1,1,0,1,0,1.0
3,1,3,1,0,0,1,0,0
5,1,5,4,0,3,1,8,11.0
4,1,5,4,1,3,1,8,9.0
4,1,5,4,1,3,4,8,8.0
4,2,5,4,1,2,4,8,5.0
4,3,5,4,1,1,4,0,4.0
4,4,5,4,1,0,4,0,2.0
4,4,5,4,1,0,3,0,1.0
5,4,5,4,0,0,3,0,0
2,5,5,2,3,3,1,20,24.0
2,5,5,2,3,3,2,20,23.0
2,4,5,2,3,2,2,20,20.0
2,3,5,2,3,1,2,18,18.0
2,3,5,2,3,1,3,18,17.0
3,3,5,2,2,1,3,18,10.0
4,3,5,2,1,1,3,0,7.0
5,3,5,2,0,1,3,0,3.0
5,3,5,2,0,1,2,0,1.0
5,2,5,2,0,0,2,0,0
2,0,2,5,0,5,1,11,13.0
2,0,2,5,0,5,4,11,12.0
2,1,2,5,0,4,4,11,9.0
2,2,2,5,0,3,4,11,6.0
2,3,2,5,0,2,4,11,3.0
2,4,2,5,0,1,4,0,1.0
2,5,2,5,0,0,4,0,0
2,3,4,4,2,1,1,14,19.0
2,3,4,4,2,1,4,14,18.0
2,4,4,4,2,0,4,14,15.0
2,5,4,4,2,1,4,14,12.0
2,5,4,4,2,1,3,14,10.0
3,5,4,4,1,1,3,0,7.0
4,5,4,4,0,1,3,0,3.0
4,5,4,4,0,1,2,0,1.0
4,4,4,4,0,0,2,0,0
3,2,0,0,3,2,1,20,13.0
2,2,0,0,2,2,1,20,10.0
1,2,0,0,1,2,1,13,9.0
0,2,0,0,0,2,1,13,7.0
0,2,0,0,0,2,2,13,6.0
0,1,0,0,0,1,2,0,1.0
0,0,0,0,0,0,2,0,0
2,5,4,0,2,5,1,12,18.0
2,5,4,0,2,5,2,12,17.0
2,4,4,0,2,4,2,12,16.0
2,3,4,0,2,3,2,12,13.0
2,2,4,0,2,2,2,12,12.0
2,1,4,0,2,1,2,11,9.0
2,0,4,0,2,0,2,11,6.0
2,0,4,0,2,0,3,11,4.0
3,0,4,0,1,0,3,0,1.0
4,0,4,0,0,0,3,0,0
0,5,0,3,0,2,1,12,7.0
0,5,0,3,0,2,2,12,6.0
0,4,0,3,0,1,2,0,1.0
0,3,0,3,0,0,2,0,0
5,5,0,2,5,3,1,23,23.0
4,5,0,2,4,3,1,23,20.0
3,5,0,2,3,3,1,23,18.0
3,5,0,2,3,3,2,23,17.0
3,4,0,2,3,2,2,23,12.0
3,3,0,2,3,1,2,16,9.0
3,2,0,2,3,0,2,16,7.0
3,2,0,2,3,0,1,16,6.0
2,2,0,2,2,0,1,16,4.0
1,2,0,2,1,0,1,0,1.0
0,2,0,2,0,0,1,0,0
4,2,2,2,2,0,1,14,4.0
3,2,2,2,1,0,1,0,1.0
2,2,2,2,0,0,1,0,0
5,4,0,2,5,2,1,8,12.0
4,4,0,2,4,2,1,8,10.0
4,4,0,2,4,2,2,8,9.0
4,3,0,2,4,1,2,15,8.0
4,3,0,2,4,1,1,15,7.0
3,3,0,2,3,1,1,15,6.0
2,3,0,2,2,1,1,15,5.0
1,3,0,2,1,1,1,0,4.0
0,3,0,2,0,1,1,0,2.0
0,3,0,2,0,1,2,0,1.0
0,2,0,2,0,0,2,0,0
0,3,2,5,2,2,1,13,17.0
0,3,2,5,2,2,4,13,16.0
0,4,2,5,2,1,4,10,11.0
0,4,2,5,2,1,3,10,8.0
1,4,2,5,1,1,3,0,6.0
2,4,2,5,0,1,3,0,3.0
2,4,2,5,0,1,4,0,1.0
2,5,2,5,0,0,4,0,0
5,2,1,5,4,3,1,13,21.0
4,2,1,5,3,3,1,13,17.0
3,2,1,5,2,3,1,13,14.0
2,2,1,5,1,3,1,16,13.0
2,2,1,5,1,3,4,16,12.0
2,3,1,5,1,2,4,16,9.0
2,4,1,5,1,1,4,0,6.0
2,5,1,5,1,0,4,0,3.0
2,5,1,5,1,0,1,0,1.0
1,5,1,5,0,0,1,0,0
5,0,1,4,4,4,1,13,26.0
4,0,1,4,3,4,1,13,22.0
4,0,1,4,3,4,4,13,20.0
4,1,1,4,3,3,4,13,17.0
4,2,1,4,3,2,4,13,14.0
4,2,1,4,3,2,1,13,12.0
3,2,1,4,2,2,1,13,9.0
2,2,1,4,1,2,1,16,6.0
1,2,1,4,0,2,1,16,5.0
1,2,1,4,0,2,4,16,4.0
1,3,1,4,0,1,4,0,1.0
1,4,1,4,0,0,4,0,0
5,1,4,4,1,3,1,14,13.0
5,1,4,4,1,3,4,14,12.0
5,2,4,4,1,2,4,14,9.0
5,3,4,4,1,1,4,0,6.0
5,4,4,4,1,0,4,0,3.0
5,4,4,4,1,0,1,0,1.0
4,4,4,4,0,0,1,0,0
3,1,3,0,0,1,1,0,2.0
3,1,3,0,0,1,2,0,1.0
3,0,3,0,0,0,2,0,0
5,4,3,4,2,0,1,10,4.0
4,4,3,4,1,0,1,0,1.0
3,4,3,4,0,0,1,0,0
2,3,0,5,2,2,1,7,9.0
1,3,0,5,1,2,1,4,6.0
0,3,0,5,0,2,1,4,5.0
0,3,0,5,0,2,4,4,4.0
0,4,0,5,0,1,4,0,1.0
0,5,0,5,0,0,4,0,0
4,5,3,2,1,3,1,18,15.0
4,5,3,2,1,3,2,18,14.0
4,5,3,2,1,3,3,18,13.0
5,5,3,2,2,3,3,20,12.0
5,5,3,2,2,3,2,20,11.0
5,4,3,2,2,2,2,20,8.0
5,3,3,2,2,1,2,23,6.0
5,2,3,2,2,0,2,23,5.0
5,2,3,2,2,0,1,23,4.0
4,2,3,2,1,0,1,0,1.0
3,2,3,2,0,0,1,0,0
0,5,5,3,5,2,1,20,23.0
0,5,5,3,5,2,2,20,22.0
0,5,5,3,5,2,3,20,21.0
1,5,5,3,4,2,3,20,18.0
2,5,5,3,3,2,3,20,10.0
3,5,5,3,2,2,3,20,7.0
4,5,5,3,1,2,3,12,6.0
5,5,5,3,0,2,3,12,5.0
5,5,5,3,0,2,2,12,4.0
5,4,5,3,0,1,2,0,1.0
5,3,5,3,0,0,2,0,0
2,3,0,5,2,2,1,8,11.0
1,3,0,5,1,2,1,5,8.0
0,3,0,5,0,2,1,5,4.0
0,3,0,5,0,2,4,5,2.0
0,4,0,5,0,1,4,0,1.0
0,5,0,5,0,0,4,0,0
1,1,0,5,1,4,1,7,10.0
1,1,0,5,1,4,4,7,9.0
1,2,0,5,1,3,4,7,6.0
1,3,0,5,1,2,4,7,4.0
1,4,0,5,1,1,4,0,3.0
1,5,0,5,1,0,4,0,2.0
1,5,0,5,1,0,1,0,1.0
0,5,0,5,0,0,1,0,0
0,1,1,0,1,1,1,0,10.0
0,1,1,0,1,1,2,0,9.0
0,0,1,0,1,0,2,0,4.0
0,0,1,0,1,0,3,0,1.0
1,0,1,0,0,0,3,0,0
5,2,5,5,0,3,1,10,11.0
5,2,5,5,0,3,4,10,10.0
5,3,5,5,0,2,4,10,7.0
5,4,5,5,0,1,4,0,1.0
5,5,5,5,0,0,4,0,0
1,1,1,5,0,4,1,15,12.0
